Designator,Mid X,Mid Y,Layer,Rotation
C1,116.56, 0.83,Top,180.0
C2,118.36, 5.84,Top,180.0
C3,120.14, 1.51,Top,0.0
C4,101.19, 5.50,Top,90.0
C5,98.11, 5.50,Top,90.0
C6,95.03, 5.50,Top,90.0
C7,91.95, 5.50,Top,90.0
C8,84.33, 5.50,Top,90.0
C9,81.25, 5.50,Top,90.0
C10,78.16, 5.50,Top,90.0
C11,75.08, 5.50,Top,90.0
C12,67.46, 5.50,Top,90.0
C13,64.38, 5.50,Top,90.0
C14,61.30, 5.50,Top,90.0
C15,58.22, 5.50,Top,90.0
C16,110.90, 6.90,Top,90.0
D1,119.00, 9.23,Top,0.0
D2,112.81, 9.12,Top,90.0
D3,112.78, 2.01,Top,270.0
D4,111.00, 3.18,Top,270.0
D5,112.78, 5.56,Top,90.0
IC1,116.59, 3.18,Top,90.0
LED1,123.14, 5.50,Top,90.0
LED2,106.27, 5.50,Top,90.0
LED3,89.41, 5.50,Top,90.0
LED4,72.54, 5.50,Top,90.0
LED5,55.68, 5.50,Top,90.0
LED6,38.81, 5.50,Top,90.0
LED7,21.95, 5.50,Top,90.0
LED8, 5.08, 5.50,Top,90.0
LED9,120.60, 5.50,Top,90.0
LED10,103.73, 5.50,Top,90.0
LED11,86.87, 5.50,Top,90.0
LED12,70.00, 5.50,Top,90.0
LED13,53.14, 5.50,Top,90.0
LED14,36.27, 5.50,Top,90.0
LED15,19.41, 5.50,Top,90.0
LED16, 2.54, 5.50,Top,90.0
Q1,116.21, 9.21,Top,0.0
Q2,114.55, 6.75,Top,0.0
R1,114.43, 9.90,Top,90.0
R2,121.41, 9.40,Top,180.0
R3,106.30, 8.10,Top,180.0
R4,89.42, 8.10,Top,180.0
R5,72.54, 8.10,Top,180.0
R6,114.41, 1.37,Top,270.0
R7,55.68, 8.10,Top,180.0
R8,38.81, 8.10,Top,180.0
R9,21.95, 8.10,Top,180.0
R10,116.46, 5.84,Top,180.0
R11,116.46, 7.24,Top,180.0
R12, 5.09, 8.10,Top,180.0
R13,121.41, 8.38,Top,180.0
R14,103.76, 8.10,Top,0.0
R15,86.86, 8.10,Top,0.0
R16,70.00, 8.10,Top,0.0
R17,53.14, 8.10,Top,0.0
R18,36.27, 8.10,Top,0.0
R19,19.41, 8.10,Top,0.0
R20, 2.54, 8.10,Top,0.0
R21,108.42, 6.22,Top,270.0
